RegionID,RegionName,StateName,SizeRank,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
273683,Fairmount,Pennsylvania,769,312600,301800,299800,267100,261700,256800,255900,248900,276000,284500,294900,273900,294900,307500,312000,282400,295000,302000,329000,323900,331000,320100,319900,314200,327200,347300,364800,362200,354500,332200,327400,333600,347000,344400,339400,341300,339000,318800,315300,297000,303300,319500,341300,342000,317700,312700,330600,357100,360800,343000,358000,390800,396000,382300,357000,349700,335300,326000,354100,364500,376300,377300,362200
52070,Fort Logan,Colorado,770,,,,,,,,,301400,280800,278500,268100,298400,316100,327300,312700,300200,300300,301600,307900,311300,269100,271000,279500,303700,312600,292500,342900,339400,347500,349700,359800,368600,372800,380000,390000,360500,282500,279600,317900,350500,355000,351000,392000,398700,449600,426400,402000,370500,412000,440800,423900,416800,401200,388400,373300,383400,391800,411800,399600,411300,398700,415200
276451,Midtown,Arkansas,771,132700,152800,160100,174900,176300,165400,161900,157800,160400,163500,164600,154200,151900,143700,152300,162200,171700,171500,173000,174600,163000,159000,160100,176300,173000,179900,182500,186800,178300,178100,179300,174000,166700,171600,176400,193300,182400,191600,181700,184700,178800,176200,179900,202900,197700,194700,167600,166300,191900,186600,203500,185800,187400,178600,175000,180300,187800,186500,181400,183700,174900,179000,178200
396659,Barclay-Kingston,New Jersey,772,268000,239100,231300,236100,233800,240800,238800,271000,257500,259800,230000,225500,240000,249200,234000,219600,219500,227400,237200,238700,259700,247900,263000,277300,290000,265300,253500,234100,247200,253600,263100,257000,259100,287600,292300,262600,250400,252700,271800,263000,254400,238500,236000,238100,248600,255300,249700,245000,226300,225600,229500,231700,271000,288800,309200,289300,274500,274800,258400,256500,258100,277200,305600
196520,Mountainville,Pennsylvania,773,75700,76700,83900,90800,102400,104500,102000,111000,110700,108500,103200,102000,97500,94000,91600,97000,101400,107300,111900,107800,100800,101600,102700,109500,110200,109200,111600,113200,112200,107500,117800,123400,127000,121500,121800,122000,120200,123000,126400,135800,137000,134600,131700,128000,130200,135600,136600,139400,138400,142800,146200,135900,126600,123800,131100,149300,153000,160600,159800,152300,148500,149300,163400
275343,Shannon Park,North Carolina,774,,,,,,,,,,,,,,,,,,,,,,,,,94600,102200,103900,99000,95700,101200,111400,111200,109100,112300,118700,129700,134700,137300,139800,142600,148300,148800,141300,138300,135700,160900,162600,156300,145900,150800,155700,155000,153000,169300,169600,174400,163200,175800,167800,172100,160500,180200,186500
275511,Spanos Park East,California,775,275800,278400,281500,289200,296300,300900,303900,315700,315400,318600,308900,313000,310300,324800,320700,326900,317700,321300,326000,324900,323900,326200,333800,331700,337100,334700,348300,346200,347100,340800,341400,353600,366300,375100,377800,380900,378000,374200,371300,392400,392600,393000,371400,375300,375600,375000,367900,360400,369700,377700,392700,390500,391700,383800,377500,379600,379000,381800,385500,395200,425400,435100,443500
273986,Highland,Colorado,776,503200,479700,490200,440400,419600,425400,432000,452000,450400,429500,425800,433800,479400,494800,495700,462600,463500,473400,474700,480400,515900,563100,586300,573200,610500,582700,558200,500700,502100,519900,536000,551100,554000,527100,525900,506300,508600,501000,547100,577600,616500,609800,601100,588900,585900,550100,551300,547700,584000,596000,621000,615500,584900,566800,595100,612000,594800,606700,,,,,
762616,Westwood Richland,Texas,777,94700,89100,87100,90800,99200,100600,97100,96400,98800,101600,103200,99800,104700,103400,104300,95400,93500,96700,98800,99600,92300,90900,93200,89500,82400,79500,90800,98200,100900,97100,96300,104100,109600,114600,105500,106200,104600,114600,113700,116700,115900,117300,119600,117100,115400,125500,125300,120800,110100,109800,109900,107900,122300,140100,140700,126500,113900,111400,114100,113000,112200,110600,113900
124068,Cresthaven,Florida,778,120500,108400,114200,133900,132800,133300,130600,137300,128400,129100,124300,133400,145500,152500,155700,139900,147400,143100,157300,154300,167800,170600,170600,160300,165000,172000,178200,180600,184300,195000,205100,209800,216600,220400,226600,221000,217600,217200,217400,220700,216100,208800,207300,204100,204700,205300,213100,223400,226000,210600,207900,202500,219800,223100,224800,227100,229300,233100,234000,225000,225700,223900,
